year,crop_base_yd1,crop_base_left1,crop_base_yd2,crop_base_left2,crop_proj_yd1,crop_proj_left1,crop_proj_yd2,crop_proj_left2,fire_on_base,fire_off_base,fire_on_proj,fire_off_proj,thin_base_cohort1,thin_base_br_cohort1,thin_base_st_cohort1,mort_base_cohort1,mort_base_br_cohort1,mort_base_st_cohort1,thin_proj_cohort1,thin_proj_br_cohort1,thin_proj_st_cohort1,mort_proj_cohort1,mort_proj_br_cohort1,mort_proj_st_cohort1,base_lit_qty1,proj_lit_qty1,base_sf_qty1,base_sf_n1,proj_sf_qty1,proj_sf_n1
0,10,0.5,1.5,0.5,8,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
1,10,0.5,1.5,0.5,8,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
2,10,0.5,1.5,0.5,8,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
3,10,0.5,1.5,0.5,8,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
4,10,0.5,1.5,0.5,8,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
5,10,0.5,1.5,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
6,10,0.5,1.5,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
7,10,0.5,1.5,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
8,10,0.5,1.5,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
9,10,0.5,1.5,0.5,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.02,0.5,0.5,0,1,1,0.2,0,0
