parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,-0.41243165095903755,4.177869019432208,6.231796247007119,1.3086228167956215
clay,1,0.3629092536117735,0.7998579455606869,2.5835718996647983,0.8017426110628041
temp_ci_delta,1,-0.2635965484926238,0.32832904783510414,0.6041847291140129,0.1533653476221424
rain_ci_delta,1,0.590792018090886,1.1591905583826212,2.5366818037175403,0.7422265326396011
evap_ci_delta,1,0.1617309591117973,0.3877647819702389,1.5111006031061136,0.47177528540135844
ef_burn_crop_N2O_scale,1,-0.00024922641623525976,0.0014020530064097869,0.001844483264964779,0.0003714329167124438
ef_burn_crop_CH4_scale,1,-0.0015075344076969088,0.004823479065053249,0.006501911200410701,0.0014668917888621012
ef_burn_tree_N2O_scale,1,0.000630134793239634,0.000630134793239634,0.00045272340229447403,0.00012180565484551351
ef_burn_tree_CH4_scale,1,0.0022801317798926135,0.0022801317798926135,0.001587427987333475,0.0005076551026968186
ef_N_inputs,1,-0.11243416633856143,0.11243416633856143,0.014814660061972513,0.004647920991973948
combustion_factor_crop,1,-0.0012512126820038104,0.007176639844418631,0.01025372070159435,0.0023120656143942493
combustion_factor_tree,1,0.003292818548669629,0.003292818548669629,0.0019931044342640213,0.0006493433778117164
volatile_frac_organic_fertiliser,1,-0.002875425650965724,0.002875425650965724,0.0003055624420979338,8.220332913349826e-05
volatile_frac_synthetic_fertiliser,1,0.01629739688895988,0.01629739688895988,0.0016405654386379086,0.0005054828205238484
base_sf_qty_scale,1,-0.12981374696526302,0.12981374696526302,0.011684697112337033,0.0038287183019443515
proj_lit_qty_scale,1,-0.17395616291143448,0.17395616291143448,0.021649958933992224,0.006563276717219882
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-38.212632358676466,38.212632358676466,3.3346566682222423,1.2044831124599782
tree_wood_dens_sp1,1,-38.775664333769306,38.775664333769306,3.748376198044808,1.1103892732014764
base_cover,1,3.4086793528524835,3.4086793528524835,4.045948697268014,1.3076031086838766
base_fire_off,1,-0.02488531306065802,0.02488531306065802,0.08969221031413324,0.023475185917333195
base_fire_on,1,-0.034932859740002084,0.034932859740002084,0.005956144895640276,0.0018859905989425975
base_mortality,1,0.0,0.0,0.0,0.0
base_sf_n_delta,1,-0.13290163271820318,0.13290163271820318,0.013646164833619025,0.004551771405153226
base_thinning_delta,1,0.0,0.0,0.0,0.0
crop_base_left_delta,1,0.5879036369099605,0.5879036369099605,0.07285250332906126,0.02316012259000698
crop_base_yield_delta,1,0.6705442407833715,0.6705442407833715,0.1150495388177888,0.03600743358424586
crop_carbon_above_sp3,1,0.009156965385638927,0.017888108718015872,0.02086519701578135,0.004634647810929461
crop_carbon_below_sp3,1,0.030934423683379463,0.0312886663726033,0.015615190640275943,0.0048475054527439354
crop_intercept_sp3,1,-0.0010337672817676946,0.009612455070669768,0.01192626304030188,0.0019508302644584558
crop_nitrogen_above_sp3,1,-0.0013829849470148759,0.0020823640549814115,0.002267851845140712,0.0005020846647978816
crop_nitrogen_below_sp3,1,-0.0031851691322561495,0.0031851691322561495,0.0007438279445825638,0.00023880611581092326
crop_carbon_above_sp10,1,-0.011507014258067372,0.042413673023685663,0.05256174642527623,0.01095205130272442
crop_carbon_below_sp10,1,0.0011674130788613013,0.01714915585698762,0.020841729911794265,0.003622582194328235
crop_intercept_sp10,1,-0.0020904338324868378,0.008088173968756962,0.009860094627763685,0.001758794272985159
crop_nitrogen_above_sp10,1,-0.00022899482430922548,0.0015789172150217467,0.0018849667345559394,0.0003306200938834041
crop_nitrogen_below_sp10,1,-8.441088795620998e-05,0.0008590760851021173,0.0011558114040075714,0.00026372450582190027
crop_proj_left_delta,1,-0.5763135894210389,0.5763135894210389,0.08688624056253284,0.02424549337343063
crop_proj_yield_delta,1,-0.6778528858701772,0.6778528858701772,0.13579946126414258,0.036981277569401214
crop_root_in_top_30,1,0.036537505860988514,0.0425370609377552,0.06434900813786232,0.020120853751884563
crop_root_to_shoot_sp3,1,0.03356071088749317,0.0336257801733673,0.04230266275519284,0.013511015727469947
crop_slope_sp3,1,0.011468409577887329,0.01290934811473754,0.01353655086495668,0.003782281708850206
crop_root_to_shoot_sp10,1,0.0020932577093685013,0.012873578551200282,0.01639657992619226,0.003123045967079787
crop_slope_sp10,1,-0.007545902120241976,0.047035512055987994,0.05740067012197122,0.00890920896619695
cy0_to_ceq_multiplier,1,0.025456732660095228,0.37068355829289495,0.9170027142261561,0.2662890922585152
litter_carbon,1,-0.19645475755241898,0.19645475755241898,0.01805409442837464,0.005762969944011642
litter_nitrogen,1,0.023840581492765977,0.023840581492765977,0.002622228051292378,0.0007248192172948321
mortality_fraction_branch_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_croot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_froot_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
mortality_fraction_stem_delta,1,0.0,0.0,0.0,0.0
pool_alloc_froot_sp1,1,-2.699853116710974,2.699853116710974,0.2943329341113968,0.085941357121227
pool_alloc_leaf_sp1,1,-2.68049666187522,2.68049666187522,0.25171966132895346,0.07295259287394927
pool_alloc_stem_sp1,1,-4.94160027225909,4.94160027225909,0.6024926366083828,0.20072832576994903
pool_turnover_branch_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_croot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_froot_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_leaf_sp1,1,0.0,0.0,0.0,0.0
pool_turnover_stem_sp1,1,0.0,0.0,0.0,0.0
proj_cover,1,-3.7375074417931073,3.7375074417931073,4.746392557227433,1.3556864889575393
proj_fire_off,1,0.05973419738979189,0.05973419738979189,0.12463274165293116,0.03769705162639058
proj_fire_on,1,0.06644873313502835,0.06644873313502835,0.007857763630847395,0.002547041605407038
proj_mortality,1,0.0,0.0,0.0,0.0
proj_thinning_delta,1,0.0,0.0,0.0,0.0
roth_c_cover_c,1,0.09684507468840628,0.12464137363525474,0.34445245426192395,0.09986882407920643
roth_c_dpm_frac_crop,1,-0.01786670211197503,0.05468007122306915,0.06637592617510224,0.013313039884231508
roth_c_dpm_frac_tree,1,0.01797184656297581,0.01797184656297581,0.0024768427172496554,0.0008569256567266852
roth_c_moisture_b_slope,1,-0.08156206742922656,0.33033123673959147,0.7403452029968177,0.17549782632992614
roth_c_temp_a1,1,0.01672711819593111,0.2595950995420903,0.511136321990672,0.12590090677729526
roth_c_temp_a2,1,0.023170072550364296,0.4854654215044576,0.8939043827750842,0.2224275769021325
thinning_fraction_branch_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_croot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_froot_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_leaf_delta,1,0.0,0.0,0.0,0.0
thinning_fraction_stem_delta,1,0.0,0.0,0.0,0.0
tree_carbon_sp1,1,-38.27817189409821,38.27817189409821,3.3349569586826675,0.9832780530952053
tree_nitrogen_branch_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_croot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_froot_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_leaf_sp1,1,0.0,0.0,0.0,0.0
tree_nitrogen_stem_sp1,1,0.0,0.0,0.0,0.0
tree_root_in_top_30,1,0.0,0.0,0.0,0.0
tree_root_to_shoot_sp1,1,-4.938693308621028,4.938693308621028,0.6746286989763105,0.2040751006644957
cy0,2,-0.4272283524434816,1.4791713126064867,2.5845206632089313,0.6248759789061586
clay,2,-0.11533900553220018,0.2984913459547128,0.5743014700840189,0.16015725403923173
temp_ci_delta,2,0.015581475015603674,0.1406104641692664,0.2476195572623082,0.05877792510844588
rain_ci_delta,2,0.5096995845377871,0.9151167203639077,1.7136827666149117,0.4634246140627383
evap_ci_delta,2,0.1012756596452066,0.24887940555729005,0.9639208457552759,0.3012056517459138
ef_burn_crop_N2O_scale,2,-0.0002492264162428537,0.0014020530064123183,0.0018444832649700277,0.00037143291671640254
ef_burn_crop_CH4_scale,2,-0.0015075344077009722,0.004823479065053848,0.006501911200413146,0.0014668917888618028
ef_burn_tree_N2O_scale,2,0.0006301347932353707,0.0006301347932353707,0.00045272340228714254,0.00012180565484304237
ef_burn_tree_CH4_scale,2,0.002280131779891015,0.002280131779891015,0.0015874279873298645,0.0005076551026956775
ef_N_inputs,2,-0.11243416633855903,0.11243416633855903,0.014814660061965032,0.004647920991972152
combustion_factor_crop,2,-0.001251212682001146,0.007176639844418098,0.010253720701595366,0.0023120656143938486
combustion_factor_tree,2,0.003292818548671761,0.003292818548671761,0.001993104434258736,0.0006493433778105489
volatile_frac_organic_fertiliser,2,-0.002875425650972785,0.002875425650972785,0.0003055624420975053,8.22033291337528e-05
volatile_frac_synthetic_fertiliser,2,0.016297396888962944,0.016297396888962944,0.0016405654386368591,0.0005054828205229071
base_sf_qty_scale,2,-0.1298137469652641,0.1298137469652641,0.01168469711233446,0.0038287183019439733
proj_lit_qty_scale,2,-0.08494209745217032,0.08494209745217032,0.02751630375891409,0.00845840797402353
base_stand_density_scale,2,0.0,0.0,0.0,0.0
