parameter,year,mu,mu_star,sigma,mu_star_conf
cy0,1,1.552090119229101,4.906522426495373,7.2548554576814,1.6311042844603498
clay,1,0.20245052935135596,1.2046538978244268,2.1737396461916654,0.550302624959564
temp_ci_delta,1,0.04009467192471794,0.560166655617352,1.38112588974777,0.3505279054367919
rain_ci_delta,1,-0.6963487461042426,1.7310746842635265,2.8128798497644323,0.6578050486867266
evap_ci_delta,1,-0.002855599218263993,0.2522928060346167,0.5689864695620485,0.16777134835446558
ef_N_inputs,1,-0.8418945196244824,0.8418945196244824,0.17986695316719448,0.06069691904686617
volatile_frac_organic_fertiliser,1,-0.016301567573004938,0.016301567573004938,0.009909378296547125,0.0030138450610008322
volatile_frac_synthetic_fertiliser,1,0.21208655635002432,0.21208655635002432,0.11442689071693554,0.035733729260370016
base_sf_qty_scale,1,-0.12171437219275649,0.12171437219275649,0.060011127386036006,0.017457688627473936
proj_lit_qty_scale,1,-0.14898932272990564,0.14900330011976876,0.061116770183805125,0.01843743361713407
base_stand_density_scale,1,0.0,0.0,0.0,0.0
proj_stand_density_scale,1,-114.79145221553583,114.79145221553583,42.0479074287434,13.344837810709707
tree_wood_dens_sp1,1,-198.0348969352116,198.0348969352116,49.384473437884296,14.107088291386406
base_cover,1,6.822434519821553,6.822434519821553,4.881422411000777,1.5957921391057166
base_fire_off,1,-0.07567880067863904,0.07567880067863904,0.14689869148455867,0.04839404300400051
base_fire_on,1,-0.6169328252570979,0.6169328252570979,1.1207486600949033,0.3796044839120375
base_sf_n_delta,1,-0.012054012840152773,0.012054012840152773,0.005283568101079718,0.0016692262153266042
crop_base_left_delta,1,1.7510647733802311,1.7510647733802311,1.068835665639028,0.3291202073549271
crop_base_yield_delta,1,1.2122047094623922,1.2122047094623922,0.5390495613273497,0.17511987216126076
crop_carbon_above_sp3,1,0.0790305682017598,0.15149182692498347,0.1771685168565063,0.03353452266919547
crop_carbon_below_sp3,1,0.1377843391444042,0.15273000942294565,0.24320650812582068,0.0797032332018182
crop_intercept_sp3,1,0.048219873093242785,0.1538764427082576,0.2099043454867977,0.04524018896359551
crop_nitrogen_above_sp3,1,-0.01745745069614113,0.05111760481864085,0.0862126559142112,0.01915918515193413
crop_nitrogen_below_sp3,1,-0.025458862502673797,0.025458862502673797,0.023336280632610975,0.007674835835082372
