site_index,project_name,parameter,direction,year,emissions_diff,effect_vs_baseline
0,oat_batch_0000,cy0,min,total,-757.2767853350614,8.841814178595087e-06
0,oat_batch_0000,cy0,max,total,-757.2767936847688,4.921067784380284e-07
0,oat_batch_0000,clay,min,total,-681.0734907874971,76.20330338937845
0,oat_batch_0000,clay,max,total,-763.977823087168,-6.7010289102923934
0,oat_batch_0000,temp_ci_delta,min,total,-767.5416364744223,-10.264842297546693
0,oat_batch_0000,temp_ci_delta,max,total,-747.6887520328801,9.588042143995494
0,oat_batch_0000,rain_ci_delta,min,total,-1002.9137295228708,-245.6369353459952
0,oat_batch_0000,rain_ci_delta,max,total,-728.426205655914,28.850588520961537
0,oat_batch_0000,evap_ci_delta,min,total,-740.408108375724,16.868685801151514
0,oat_batch_0000,evap_ci_delta,max,total,-759.1593769611206,-1.8825827842450733
0,oat_batch_0000,ef_burn_crop_N2O_scale,min,total,-757.3460524000005,-0.0692582231249616
0,oat_batch_0000,ef_burn_crop_N2O_scale,max,total,-757.2075359537505,0.0692582231250753
0,oat_batch_0000,ef_burn_crop_CH4_scale,min,total,-757.5409974456256,-0.2642032687500659
0,oat_batch_0000,ef_burn_crop_CH4_scale,max,total,-757.0125909081255,0.2642032687500659
0,oat_batch_0000,ef_burn_tree_N2O_scale,min,total,-759.9259417930313,-2.6491476161556875
0,oat_batch_0000,ef_burn_tree_N2O_scale,max,total,-754.6276465607198,2.649147616155801
0,oat_batch_0000,ef_burn_tree_CH4_scale,min,total,-766.1849169301028,-8.90812275322719
0,oat_batch_0000,ef_burn_tree_CH4_scale,max,total,-748.3686714236482,8.908122753227417
0,oat_batch_0000,ef_N_inputs,min,total,-758.6329316832922,-1.356137506416644
0,oat_batch_0000,ef_N_inputs,max,total,-755.920656670459,1.3561375064165304
0,oat_batch_0000,combustion_factor_crop,min,total,-757.5088054806255,-0.232011303749914
0,oat_batch_0000,combustion_factor_crop,max,total,-757.0447828731255,0.2320113037500277
0,oat_batch_0000,combustion_factor_tree,min,total,-767.0787508006952,-9.801956623819592
0,oat_batch_0000,combustion_factor_tree,max,total,-747.4748375530559,9.801956623819706
0,oat_batch_0000,volatile_frac_organic_fertiliser,min,total,-757.1957131768755,0.0810810000000401
0,oat_batch_0000,volatile_frac_organic_fertiliser,max,total,-757.3578751768756,-0.0810810000000401
0,oat_batch_0000,volatile_frac_synthetic_fertiliser,min,total,-757.7486941768755,-0.4718999999998914
0,oat_batch_0000,volatile_frac_synthetic_fertiliser,max,total,-756.8048941768756,0.4719000000000051
0,oat_batch_0000,base_sf_qty_scale,min,total,-753.4586941768755,3.818100000000072
0,oat_batch_0000,base_sf_qty_scale,max,total,-761.0948941768755,-3.8180999999999594
0,oat_batch_0000,proj_lit_qty_scale,min,total,-757.7269229848404,-0.450128807964802
0,oat_batch_0000,proj_lit_qty_scale,max,total,-756.8266653686795,0.450128808196041
0,oat_batch_0000,base_stand_density_scale,min,total,-757.2767941768756,0.0
0,oat_batch_0000,base_stand_density_scale,max,total,-757.2767941768756,0.0
0,oat_batch_0000,proj_stand_density_scale,min,total,-683.1078230763238,74.16897110055174
0,oat_batch_0000,proj_stand_density_scale,max,total,-831.4457653280292,-74.16897115115364
0,oat_batch_0000,tree_wood_dens_sp1,min,total,-683.1110652914774,74.16572888539815
0,oat_batch_0000,tree_wood_dens_sp1,max,total,-831.4461607346711,-74.16936655779557
0,oat_batch_0000,base_cover,min,total,-769.2195538231099,-11.942759646234322
0,oat_batch_0000,base_cover,max,total,-759.337848871891,-2.0610546950154003
0,oat_batch_0000,base_fire_off,min,total,-757.2767941768756,0.0
0,oat_batch_0000,base_fire_off,max,total,-765.7721924893756,-8.495398312500015
0,oat_batch_0000,base_fire_on,min,total,-757.2767941768756,0.0
0,oat_batch_0000,base_fire_on,max,total,-758.9758738393755,-1.699079662499912
0,oat_batch_0000,base_mortality,min,total,-757.2767941768756,0.0
0,oat_batch_0000,base_mortality,max,total,-757.2767941768756,0.0
0,oat_batch_0000,base_sf_n_delta,min,total,-753.4586941768755,3.818100000000072
0,oat_batch_0000,base_sf_n_delta,max,total,-761.0948941768755,-3.8180999999999594
0,oat_batch_0000,base_thinning_delta,min,total,-757.2767941768756,0.0
0,oat_batch_0000,base_thinning_delta,max,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_base_left_delta,min,total,-758.6903955623227,-1.413601385447123
0,oat_batch_0000,crop_base_left_delta,max,total,-755.8631887343964,1.4136054424791382
0,oat_batch_0000,crop_base_yield_delta,min,total,-759.909332044499,-2.632537867623455
0,oat_batch_0000,crop_base_yield_delta,max,total,-754.6442533559637,2.632540820911913
0,oat_batch_0000,crop_carbon_above_sp3,min,total,-757.803204385725,-0.5264102088494838
0,oat_batch_0000,crop_carbon_above_sp3,max,total,-756.7503798363141,0.5264143405614732
0,oat_batch_0000,crop_carbon_below_sp3,min,total,-758.087852446208,-0.8110582693324204
0,oat_batch_0000,crop_carbon_below_sp3,max,total,-756.4657365583539,0.8110576185216587
0,oat_batch_0000,crop_intercept_sp3,min,total,-757.8118941221967,-0.5350999453211216
0,oat_batch_0000,crop_intercept_sp3,max,total,-757.1430164810212,0.1337776958544054
0,oat_batch_0000,crop_nitrogen_above_sp3,min,total,-756.9748566838755,0.3019374930000822
0,oat_batch_0000,crop_nitrogen_above_sp3,max,total,-757.5787316698755,-0.3019374929999685
0,oat_batch_0000,crop_nitrogen_below_sp3,min,total,-756.9712833712755,0.305510805600079
0,oat_batch_0000,crop_nitrogen_below_sp3,max,total,-757.5823049824756,-0.305510805600079
0,oat_batch_0000,crop_carbon_above_sp10,min,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_carbon_above_sp10,max,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_carbon_below_sp10,min,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_carbon_below_sp10,max,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_intercept_sp10,min,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_intercept_sp10,max,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_nitrogen_above_sp10,min,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_nitrogen_above_sp10,max,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_nitrogen_below_sp10,min,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_nitrogen_below_sp10,max,total,-757.2767941768756,0.0
0,oat_batch_0000,crop_proj_left_delta,min,total,-757.1897328824026,0.08706129447296
0,oat_batch_0000,crop_proj_left_delta,max,total,-757.3638554713406,-0.0870612944650019
0,oat_batch_0000,crop_proj_yield_delta,min,total,-757.4482305328249,-0.1714363559493676
0,oat_batch_0000,crop_proj_yield_delta,max,total,-757.1053578209242,0.171436355951414
0,oat_batch_0000,crop_root_in_top_30,min,total,-758.018758048491,-0.7419638716154395
