parameter,direction,year,emissions_diff,effect_vs_baseline
cy0,min,1,-224.17058268685878,1.8563420667305763e-07
cy0,min,2,17.59305842721701,1.375590130692217e-07
cy0,min,3,-17.762465973831247,4.482360793645057e-08
cy0,min,4,-33.69307456269705,-5.251904156011733e-08
cy0,min,5,-10.342888448676074,-9.736514172686839e-08
cy0,min,6,-29.175554882742155,6.279959663402224e-08
cy0,min,7,3.1839052773315237,2.7844131444965114e-09
cy0,min,8,-31.770189233072177,3.364583633924667e-08
cy0,min,9,-4.229149921496386,3.985934338146535e-08
cy0,min,10,-16.950120888527263,-9.650357668533616e-08
cy0,min,11,-4.888023162411499,1.4881757159912468e-08
cy0,min,12,-28.040660378765686,-4.203631220889292e-08
cy0,min,13,-3.9428477581861956,-2.980706215183204e-08
cy0,min,14,-30.901842875586222,-4.921131946389323e-08
cy0,min,15,18.98734644801964,-2.4130017095558287e-08
cy0,min,16,-39.359841690636905,-7.097646914644429e-09
cy0,min,17,-0.7042492965054943,-6.545043174099874e-08
cy0,min,18,-30.922365478054708,1.2165185481194385e-07
cy0,min,19,-2.625505172503092,2.446224307561806e-07
cy0,min,20,-34.29252234880195,-6.482048320322065e-08
cy0,min,21,-3.271651816777514,1.9336175283157786e-07
cy0,min,22,-36.63022281680868,2.043476357016516e-07
cy0,min,23,-3.1380138456805966,-4.930684527337803e-08
cy0,min,24,-38.949989855760656,-6.44583906250773e-08
cy0,min,25,-2.7740024364219122,1.3178014057757537e-07
cy0,min,26,-40.902522908969246,5.046759525839661e-07
cy0,min,27,-2.044475919359023,4.161639353128521e-07
cy0,min,28,-42.57107298088108,2.2118146603133937e-07
cy0,min,29,-1.0038313743933995,4.448555450675684e-07
cy0,min,30,-43.956775276063745,1.795824218220332e-07
cy0,min,31,0.3315982422393885,5.033269790954975e-07
cy0,min,32,-44.02917156498311,1.8779770272203677e-07
cy0,min,33,2.1268840979276167,-2.2915178332638675e-07
cy0,min,34,-45.14439646532883,5.621843257586079e-08
cy0,min,35,128.04446834591636,-1.1223357887502061e-07
cy0,min,36,-79.48572988499961,2.1240799696897739e-07
cy0,min,37,24.462846648235132,-1.6969690364021517e-07
cy0,min,38,-23.49302887424848,5.256713393464452e-07
cy0,min,39,15.975102551333272,2.5203906695026035e-07
cy0,min,40,-29.89339592773848,5.346594953437034e-07
cy0,min,41,13.438413582600084,-2.1790436122159917e-07
cy0,min,42,-32.41425823541266,-1.4720340146823219e-07
cy0,min,43,13.51076555062198,1.4969306150192097e-07
cy0,min,44,-32.938544282988836,-2.5904018485789493e-07
cy0,min,45,14.819230591698135,-7.896355747050166e-08
cy0,min,46,-32.41710678634254,-2.0866330174840186e-07
cy0,min,47,16.68112384979288,1.0482211720841406e-07
cy0,min,48,-31.31663006686866,3.556999992326837e-07
cy0,min,49,18.75438330506072,-1.5510285322761774e-07
cy0,min,50,-29.875853675163217,1.1952259626468731e-08
cy0,min,total,-852.1134328365494,3.857833348774875e-06
cy0,max,1,-224.17058315785334,-2.853603575658781e-07
cy0,max,2,17.593058171407787,-1.182502096241933e-07
cy0,max,3,-17.762466118770735,-1.0011588003067118e-07
cy0,max,4,-33.69307436655559,1.436224152939758e-07
cy0,max,5,-10.342888350947646,3.63286289939424e-10
cy0,max,6,-29.175554787183632,1.5835811950637435e-07
cy0,max,7,3.1839053174331555,4.288604493751791e-08
cy0,max,8,-31.77018907465733,1.9206068202493043e-07
cy0,max,9,-4.229149985456301,-2.410057131640997e-08
cy0,max,10,-16.950120807940078,-1.5916391760129045e-08
cy0,max,11,-4.888023215809641,-3.851638474827723e-08
cy0,max,12,-28.040660392717346,-5.598797159223068e-08
cy0,max,13,-3.9428476861400417,4.223909177980545e-08
cy0,max,14,-30.90184283398762,-7.612715791083247e-09
cy0,max,15,18.987346482118888,9.969230774231619e-09
cy0,max,16,-39.359841681839136,1.7001227092805493e-09
cy0,max,17,-0.7042492541787784,-2.3123715831019354e-08
cy0,max,18,-30.922365476293386,1.2341317656705542e-07
cy0,max,19,-2.62550516018112,2.569444026434553e-07
cy0,max,20,-34.29252234122006,-5.7238587203300995e-08
cy0,max,21,-3.2716518158849355,1.9425433128716918e-07
cy0,max,22,-36.6302228270354,1.941209220035489e-07
cy0,max,23,-3.13801385260339,-5.6229638722982145e-08
cy0,max,24,-38.94998984789123,-5.6588966401704965e-08
cy0,max,25,-2.774002444536068,1.236659850079036e-07
cy0,max,26,-40.90252294446156,4.6918363949544073e-07
cy0,max,27,-2.044475838715317,4.968076412481537e-07
cy0,max,28,-42.57107318846948,1.3593066228168027e-08
cy0,max,29,-1.003831476263516,3.429854285030842e-07
cy0,max,30,-43.956775328923634,1.2672253291157176e-07
cy0,max,31,0.331597817212133,7.829972359374437e-08
cy0,max,32,-44.02917167250496,8.027585352010647e-08
cy0,max,33,2.1268839797535812,-3.473258187725037e-07
cy0,max,34,-45.14439753859996,-1.0170526962838267e-06
cy0,max,35,128.044468559707,1.0155707741432707e-07
cy0,max,36,-79.48573158360995,-1.4862023363093613e-06
cy0,max,37,24.462844512655867,-2.305276169067838e-06
cy0,max,38,-23.49302902787214,3.720476797752781e-07
cy0,max,39,15.975101136868249,-1.1624259563802752e-06
cy0,max,40,-29.893396194722637,2.6767533967131385e-07
cy0,max,41,13.438414056083555,2.555791098757254e-07
cy0,max,42,-32.414259273620104,-1.1854108450393142e-06
cy0,max,43,13.510765191155889,-2.0977302916946883e-07
cy0,max,44,-32.938543966606915,5.734173669225129e-08
cy0,max,45,14.819230757234006,8.657231376218988e-08
cy0,max,46,-32.41710669796787,-1.2028862528268291e-07
cy0,max,47,16.68112407678059,3.318098293902949e-07
cy0,max,48,-31.31663101497557,-5.924069093055095e-07
cy0,max,49,18.754383375347118,-8.481645608071631e-08
cy0,max,50,-29.87585340134592,2.8576955557468864e-07
cy0,max,total,-852.1134411945845,-4.500201839618967e-06
clay,min,1,-224.3368208449502,-0.16623797245722471
clay,min,2,17.610455261192268,0.017396971534271444
clay,min,3,-17.338934919500087,0.4235310991547685
clay,min,4,-32.113413626402384,1.5796608837756239
clay,min,5,-8.968498540723516,1.3743898105874166
clay,min,6,-27.273952097889296,1.9016028476524554
clay,min,7,4.661641409527004,1.4777361349798932
clay,min,8,-29.636386690808923,2.1338025759090904
clay,min,9,-2.6665074403589006,1.562642520996829
clay,min,10,-14.944634759358497,2.005486032665189
clay,min,11,-3.3752018862293163,1.5128212910639398
clay,min,12,-26.08138152050905,1.9592788162203227
clay,min,13,-2.540516668780798,1.4023310595983354
clay,min,14,-28.91279157374904,1.9890512526258632
clay,min,15,20.441114249923874,1.4537677777742175
clay,min,16,-36.92239953960256,2.4374421439367
clay,min,17,0.9906135428602783,1.6948627739153408
clay,min,18,-28.749809378519654,2.172556221186909
clay,min,19,-1.1071766116480686,1.518328805477454
clay,min,20,-32.09292235441022,2.1995999295712494
